Id,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,AnswerCount,CommentCount,FavoriteCount
"65961","2020-01-06 13:57:21","67976","3","66","<python><scikit-learn><preprocessing><categorical-data>","2","0",""
"65963","2020-01-06 14:13:27","65965","2","75","<machine-learning><neural-network><unsupervised-learning>","2","0",""
"65967","2020-01-06 14:46:47","","3","31","<machine-learning><classification><time-series><regression>","1","0",""
"65968","2020-01-06 15:17:04","","5","611","<scikit-learn><data-imputation>","2","0",""
"65969","2020-01-06 15:25:09","","2","68","<machine-learning><python><deep-learning><pca><overfitting>","1","0",""
"65973","2020-01-06 16:21:17","","2","196","<machine-learning><feature-selection><feature-engineering>","2","0",""
"65975","2020-01-06 16:55:48","","6","1026","<machine-learning><classification><regression>","2","1","4"
"75661","2020-06-08 08:18:12","","0","21","<python><pandas><python-3.x>","1","0",""
"75665","2020-06-08 10:40:54","","1","40","<neural-network><keras><training>","2","0","1"
"75666","2020-06-08 11:04:01","","0","42","<neural-network><recurrent-neural-net>","0","2",""
"75667","2020-06-08 12:01:39","","1","108","<regression><feature-scaling>","1","0",""
"75671","2020-06-08 14:15:49","","1","40","<r><regression><clustering>","2","0",""
"75678","2020-06-08 15:47:55","","0","5","<supervised-learning><corpus>","0","0",""
"75680","2020-06-08 15:51:44","","3","87","<statistics><descriptive-statistics>","2","0",""
"75688","2020-06-08 18:04:22","","0","15","<neural-network><probability>","0","0",""
"75691","2020-06-08 20:11:47","","0","18","<neural-network><deep-learning><gradient-descent><backpropagation><cs231n>","0","0",""
"75693","2020-06-08 22:24:53","","0","270","<python><multilabel-classification><apache-spark><pyspark>","0","2",""
"75695","2020-06-08 22:59:10","","0","49","<python><scikit-learn><python-3.x>","1","4",""
"75697","2020-06-09 00:56:04","","1","42","<deep-learning><computer-vision><object-detection><image-segmentation>","0","0",""
"75700","2020-06-09 03:02:24","","0","71","<machine-learning><cnn><accuracy><overfitting><python-3.x>","2","6",""
"75701","2020-06-09 05:26:14","","1","56","<python><pandas><data-cleaning><preprocessing>","0","0",""
"75702","2020-06-09 05:48:40","","0","418","<machine-learning><data-cleaning><outlier>","2","0",""
"75703","2020-06-09 06:30:46","","0","9","<feature-extraction><convolution>","0","0",""
"75707","2020-06-09 09:24:29","","0","19","<machine-learning><regression>","0","0",""
"75708","2020-06-09 09:52:36","75771","1","239","<neural-network><image-segmentation>","2","0",""
"75712","2020-06-09 11:02:09","","0","28","<r><ggplot2><dplyr>","1","1",""
"75713","2020-06-09 11:39:35","","1","23","<dataframe><matplotlib><plotting>","1","0",""
"75714","2020-06-09 11:55:00","","0","9","<colab>","0","0",""
"75715","2020-06-09 12:08:34","75882","1","36","<python><pandas>","1","0",""
"75717","2020-06-09 12:41:13","","0","43","<recommender-system><pyspark><linear-algebra>","0","0",""
"75720","2020-06-09 13:35:06","","0","25","<image-classification><bias><azure-ml>","1","0",""
"65978","2020-01-06 17:50:40","","6","189","<machine-learning><classification><labels>","1","2",""
"65979","2020-01-06 18:29:56","","3","5400","<keras>","2","0",""
"65980","2020-01-06 19:14:02","65985","2","38","<python><classification><categorical-data><supervised-learning>","2","2",""
"65981","2020-01-06 19:21:28","","2","30","<clustering><machine-learning-model><k-means><categorical-data>","1","0",""
"65983","2020-01-06 20:06:07","","2","47","<machine-learning><python><r><numpy>","1","2",""
"65984","2020-01-06 20:06:31","65986","2","27","<machine-learning><python><scikit-learn><data-mining><optimization>","1","2",""
"65989","2020-01-06 22:02:09","","2","460","<machine-learning><deep-learning><time-series>","1","0",""
"65990","2020-01-06 22:06:02","","1","688","<machine-learning><neural-network><keras><tensorflow>","0","1",""
"65992","2020-01-06 23:00:18","65993","2","85","<machine-learning><predictive-modeling><statistics><logistic-regression><machine-learning-model>","1","2",""
"65994","2020-01-07 01:06:49","","3","31","<data>","1","3",""
"65995","2020-01-07 01:09:18","66000","3","1110","<python><keras><tensorflow><activation-function>","2","0",""
"65997","2020-01-07 03:04:45","66046","2","48","<machine-learning><regression>","1","0","1"
"65999","2020-01-07 04:38:37","","2","82","<python><predictive-modeling><linear-regression>","0","2",""
"66002","2020-01-07 06:34:00","66050","2","112","<machine-learning><algorithms>","1","0",""
"66003","2020-01-07 06:53:10","66106","2","63","<machine-learning><deep-learning><statistics><cross-validation><machine-learning-model>","1","1","1"
"66004","2020-01-07 06:54:06","","1","61","<deep-learning>","1","0","0"
"66005","2020-01-07 06:56:11","66007","1","58","<random-forest><prediction>","1","0",""
"66006","2020-01-07 07:09:33","","1","20","<neural-network><algorithms><word-embeddings><embeddings>","0","0",""
"66009","2020-01-07 07:29:00","66019","3","184","<deep-learning><nlp><pytorch><bert>","1","0",""
"66011","2020-01-07 07:47:48","","1","242","<python><one-hot-encoding>","2","2",""
"66013","2020-01-07 08:37:54","66036","1","47","<machine-learning><deep-learning><statistics><logistic-regression><machine-learning-model>","1","0",""
"66015","2020-01-07 09:07:19","66181","1","202","<machine-learning><dataset>","5","4","3"
"66016","2020-01-07 09:12:18","","1","47","<neural-network><cnn><training><autoencoder>","2","0",""
"66017","2020-01-07 09:34:19","","1","153","<pandas><data-cleaning><dataframe>","0","5",""
"66022","2020-01-07 10:04:19","","3","56","<classification><transfer-learning>","2","0",""
"66024","2020-01-07 10:38:25","","1","101","<activation-function>","1","1",""
"66025","2020-01-07 10:52:27","","1","15","<image-classification><tools><image-segmentation>","0","0",""
"66027","2020-01-07 11:20:37","","0","87","<python><classification><class-imbalance>","1","1",""
"66028","2020-01-07 11:22:01","","4","126","<machine-learning><regression><feature-selection><gradient-descent>","4","1","2"
"66031","2020-01-07 12:15:30","","3","825","<deep-learning><tensorflow><lstm><rnn><gru>","1","1",""
"66032","2020-01-07 12:36:17","","1","19","<powerbi>","0","0",""
"66033","2020-01-07 12:38:31","66037","2","286","<machine-learning><r><feature-selection>","2","0",""
"66034","2020-01-07 12:43:11","66041","6","1353","<python><scikit-learn><pandas><preprocessing>","1","1",""
"66040","2020-01-07 15:02:33","67436","6","78","<python><predictive-modeling><data-product>","2","0","2"
"66044","2020-01-07 17:12:07","","2","22","<natural-language-process><reference-request>","0","1",""
"66045","2020-01-07 17:13:19","","0","44","<machine-learning><classification><time-series><predictive-modeling><prediction>","1","0",""
"66055","2020-01-07 20:06:04","","1","93","<jupyter><pip>","1","0",""
"66057","2020-01-07 21:19:48","","1","2812","<keras><tensorflow>","1","0","1"
"66058","2020-01-07 21:27:28","","1","31","<statistics><data-analysis><descriptive-statistics>","0","0",""
"66059","2020-01-07 22:25:33","","1","1105","<pandas><data-cleaning><python-3.x><data-engineering>","1","1",""
"66060","2020-01-07 23:08:43","","1","142","<feature-selection><linear-regression>","3","7",""
"66061","2020-01-07 23:46:20","","0","27","<tensorflow>","2","0",""
"66062","2020-01-08 00:13:25","","0","1646","<machine-learning><scikit-learn><statistics><decision-trees>","1","0","1"
"75724","2020-06-09 14:45:39","","0","21","<nlp><natural-language-process><sql>","0","0",""
"75726","2020-06-09 15:26:21","","1","38","<machine-learning><python><scikit-learn>","0","0","1"
"75727","2020-06-09 16:58:54","","0","22","<preprocessing><normalization><feature-scaling>","0","0",""
"75728","2020-06-09 16:59:09","","2","36","<predictive-modeling><machine-learning-model><data-science-model><accuracy>","1","0","1"
"75729","2020-06-09 17:36:25","","0","14","<regression><algorithms>","0","0",""
"75730","2020-06-09 18:02:49","75732","2","106","<neural-network><rnn><recurrent-neural-net><sequence>","1","0",""
"75731","2020-06-09 18:56:38","75741","0","18","<scikit-learn><machine-learning-model><serialisation>","1","0",""
"75733","2020-06-09 19:50:16","75751","2","160","<machine-learning><scikit-learn><feature-selection><pca><dimensionality-reduction>","2","0","1"
"75737","2020-06-09 20:29:39","76188","1","35","<python><deep-learning><matlab>","1","0",""
"75739","2020-06-09 20:58:09","","0","11","<dataset><data-mining><predictive-modeling><data-science-model>","0","0","1"
"75740","2020-06-09 21:22:52","","0","23","<predictive-modeling><data-cleaning><logistic-regression><feature-engineering><target-encoding>","1","0",""
"75744","2020-06-09 22:19:43","","0","33","<xgboost><cross-validation><overfitting><boosting><lightgbm>","0","1",""
"75745","2020-06-09 23:35:07","","1","41","<neural-network><deep-learning><keras><overfitting>","1","3",""
"75746","2020-06-09 23:41:15","","0","62","<statistics><data-cleaning><preprocessing><math><google>","0","0",""
"75749","2020-06-10 01:29:23","75752","1","447","<machine-learning><scikit-learn><python-3.x>","1","0",""
"75754","2020-06-10 04:13:36","","0","32","<machine-learning><python><computer-vision><object-detection>","0","0",""
"75755","2020-06-10 04:22:32","","0","8","<deep-learning><tensorflow><pytorch><convolution><speech-to-text>","0","0",""
"75756","2020-06-10 05:43:21","","1","34","<decision-trees><ensemble-modeling><bagging>","1","0","1"
"75757","2020-06-10 05:47:28","75802","2","45","<machine-learning><classification><regression><feature-extraction>","1","0",""
"75758","2020-06-10 06:52:21","75761","1","79","<machine-learning><deep-learning><cnn><computer-vision><loss-function>","1","0",""
"75763","2020-06-10 09:55:46","","0","37","<image-classification><explainable-ai><shap><lime>","0","2",""
"75768","2020-06-10 10:59:22","","0","24","<r><regression><predictive-modeling><logistic-regression>","1","0",""
"75769","2020-06-10 11:22:52","","1","15","<neural-network><r><mxnet>","0","0",""
"75773","2020-06-10 11:47:05","","1","16","<keras><tensorflow><image-classification><opencv>","0","0",""
"75777","2020-06-10 05:00:59","","1","25","<python><cnn><object-detection><ocr>","0","0",""
"75783","2020-06-10 13:44:09","","3","28","<dataset><natural-language-process><automatic-summarization>","0","0",""
"75787","2020-06-10 14:48:55","","1","98","<scikit-learn><pandas><feature-engineering><pipelines>","1","0",""
"75788","2020-06-10 15:10:00","","4","31","<rnn><word-embeddings><embeddings>","1","0","1"
"75789","2020-06-10 15:16:23","75827","5","106","<machine-learning><statistics><cross-validation>","2","3",""
"75794","2020-06-10 17:04:35","","3","309","<neural-network><optimization>","1","0","1"
"75797","2020-06-10 17:21:22","","1","59","<lstm><word-embeddings><word2vec><gensim><fasttext>","0","5",""
"75799","2020-06-10 17:46:50","","0","11","<python><neural-network><scikit-learn><cross-validation><weight-initialization>","0","0",""
"75801","2020-06-10 17:57:05","","1","19","<neural-network><weight-initialization>","1","0",""
"75804","2020-06-10 18:54:32","","0","40","<neural-network><dataset><data-cleaning><gan>","0","0",""
"75811","2020-06-11 04:02:22","","1","19","<python><nlp>","0","3",""
"75813","2020-06-11 04:16:22","","1","39","<machine-learning><python><time-series><statsmodels>","1","0",""
"75814","2020-06-11 05:28:13","75818","1","27","<neural-network><transfer-learning><early-stopping>","1","0",""
"75817","2020-06-11 09:21:38","","0","30","<r><clustering><descriptive-statistics><excel><groupby>","2","0",""
"75819","2020-06-11 09:40:53","75830","1","21","<random-forest>","2","0",""
"75822","2020-06-11 10:50:55","75834","1","17","<machine-learning><r><topic-model>","1","0",""
"75824","2020-06-11 11:29:18","75829","0","60","<naive-bayes-classifier><distribution><classifier>","1","0",""
"75826","2020-06-11 12:18:06","","2","45","<machine-learning><classification><time-series><feature-engineering><supervised-learning>","2","2",""
"75828","2020-06-11 12:59:38","","0","30","<deep-learning><convolution>","0","0",""
"75833","2020-06-11 14:25:39","","0","19","<scikit-learn><regression><predictive-modeling><mlp>","0","0",""
"75835","2020-06-11 15:01:11","82112","0","30","<random-forest><decision-trees><xgboost><correlation>","1","0",""
"75836","2020-06-11 15:19:56","","0","78","<machine-learning><classification><image-classification>","3","1",""
"75837","2020-06-11 16:24:05","","0","18","<neural-network><keras><tensorflow>","0","4",""
"75839","2020-06-11 17:03:57","","1","41","<nlp><statistics><sentiment-analysis><information-retrieval><ranking>","1","0",""
"75844","2020-06-11 18:33:21","","1","34","<r><regex><parsing>","0","1",""
"75845","2020-06-11 18:47:12","","0","6","<statistics><forecasting><simulation><monte-carlo>","0","0",""
"75853","2020-06-11 20:49:47","","0","19","<dataset><sampling><bias>","0","0",""
"75855","2020-06-11 21:35:57","75863","1","94","<matrix><matrix-factorisation><notation>","1","0","1"
"75860","2020-06-12 01:00:51","","0","8","<machine-learning><neural-network><ensemble>","0","0",""
"75861","2020-06-12 01:39:30","","-1","52","<machine-learning><neural-network><classification><random-forest>","1","1",""
"66064","2020-01-08 00:23:27","","1","171","<pytorch><object-detection>","0","0",""
